Zeitstempel,Name der Liste,Leistbares Wohnen für junge Erwachsene,Leistbares Wohnen für junge Erwachsene. (Optionale Anmerkungen),Soll die Gemeinde als Vermieter auftreten?,Soll die Gemeinde als Vermieter auftreten? (Optionale Anmerkungen),"Wenn Wohnprojekte geplant sind, gibt es zusätzliche Bauträger?","Wenn Wohnprojekte geplant sind, handelt es sich dann dabei um günstige oder teure Wohnungen?","Wenn Wohnprojekte geplant sind, handelt es sich dann dabei um günstige oder teure Wohnungen? (Optionale Anmerkungen)",Projekte zugunsten Jugendlicher,Projekte zugunsten Jugendlicher (Optionale Anmerkungen),Soll die Gemeinde Kinderbetreuung organisieren bzw. finanzieren?,Soll die Gemeinde Kinderbetreuung organisieren bzw. finanzieren? (Optionale Anmerkungen),"Wenn Kinderbetreuung von der Gemeinde aus  geplant ist, wer soll darauf Anspruch haben ?","Wenn Kinderbetreuung von der Gemeinde aus geplant ist,  wie und für welche Altersgruppe soll diese ausgelegt werden? ","Wenn Kinderbetreuung von der Gemeinde aus geplant ist, für welche Altersgruppen sollte sie während den Ferien verfügbar sein? ","Wenn Kinderbetreuung von der Gemeinde aus  geplant ist, wie werden die Kosten gestaltet? ","Wenn Kinderbetreuung von der Gemeinde aus geplant ist, wie werden die Kosten gestaltet?  (Optionale Anmerkungen)",Ausbau von öffentlichem Nahverkehr?,Ausbau von öffentlichem Nahverkehr? (Optionale Bemerkungen),Anreize  schaffen für “umweltfreundliche Mobilität” ?,Anreize  schaffen für “umweltfreundliche Mobilität”? (Optionale Bemerkungen),Höhe der Vereinsförderung für? [Sportvereine],"Höhe der Vereinsförderung für? [Kunstevereine (Theater, Kunst, ...)]","Höhe der Vereinsförderung für? [Kulturvereine (Trachten, Musikkappele, Schützen, ..))]",Höhe der Vereinsförderung für? [Blaulicht Vereine],Höhe der Vereinsförderung für? [religiöse Vereine],Höhe der Vereinsförderung für? [neue Vereine],Höhe der Vereinsförderung für? [Vereine für Jugendliche],Höhe der Vereinsförderung für? [Vereine für Senioren],Höhe der Vereinsförderung für? (Optionale Bemerkungen),Ist Transparenz wichtig?,Ist Transparenz wichtig? (Optionale Anmerkungen),"Werden Protokolle, Beschlüsse und Daten prokativ veröffentlicht?","Werden Protokolle, Beschlüsse und Daten prokativ veröffentlicht? (Optionale Anmerkungen)",Ausbau Digitalisierung (digitales Gemeindeamt)?,Ausbau Digitalisierung (digitales Gemeindeamt) (Optionale Anmerkungen),"Ausbau Internetinfrastruktur (Glasfaser, 5G)?","Ausbau Internetinfrastruktur (Glasfaser, 5G)? (Optionale Anmerkungen)",Finanzierung der Liste,"Sozial-Media Kanäle? (Facebook, Webseite, ...)",Gibt es Verbindungen zu einer Partei? Wenn ja zu welcher?,Gibt es ein politisches Programm der Liste? Wenn ja hier bitte ein Link zum Programm einfügen.,Token
2022/02/23 12:50:47 AM MEZ,Grünes und unabhängiges Team für Breitenwang/ GUT,Priorisierte Umsetzung,Generationenwohnen am Areal altes Gemeindeamt und Neubau Königsweg 1,Ja,Jede Gemeinde hat eine bestimmte Verantwortung und kann nicht alles auslagern.,Ja - zusätzliche Staatliche Bauträger,Fast nur günstige Wohnungen (> 85% der neu gebauten Wohnungen sind günstiger),"Wohnprojekte müssen erst geplant werden, sollen aber günstigen Wohnraum schaffen.",Geplant,"Wir würden gerne junge Menschen hören und ihre Ideen aufnehmen. Wir haben die Forderungen der frigday for future Bewegung unterschrieben, weil wir große Verantwortung für die Zukunft tragen.",Ja - existierendes Angebot soll ausgebaut werden,"Kinderbildung und - Betreuung muss wesentlich verbessert und kostengünstig angeboten werden, das ist Aufgabe der Gemeinde. ",Alle haben Anspruch auf die Kinderbetreuung,0-3 Ganztagsbetreuung;3-6 Ganztagsbetreuung,0-3;3-6,Die Betreuung wird finanziell unterstützt > 50%,Kinderbetreuung muss günstig sein.,Geplant,Ein gutes Netzwerk muss im Planungsverband aufgebaut werden.,Priorisierte Umsetzung,"Ausbau Radwegenetz, Mitfahrbörsen, Mitfahrbänke, E-carsharing, bessere Taktung und bessere Verbindungen. ",Durchschnittliche,Durchschnittliche,Durchschnittliche,Durchschnittliche,Geringe,Spezielle Förderung,Durchschnittliche,Durchschnittliche,Vereine sollen keine Sparkassen sein sondern die Gemeinschaft bereichern. Ehrenamt ist sehr wertvoll und soll gut unterstützt werden.,Sehr wichtig,"Transparenz soll ausgebaut werden, Informationsfluss verbessert werden ",Geplant - proaktive auf z.B. Webseite,,Geplant,"Die Digitalisierung wird uns einiges erleichtern, nie kann sie das direkte Gespräch mit Menschen ersetzen. Bürger*innenbeteiligung möchten wir ausbauen.",Unschlüssig,"Das Glasfasernetz muss ausgebaut werden, bei 5G besteht noch Informationsbedarf.",Partei-Gelder;Viel ehrenamtlicher Arbeitseinsatz,"GUT für Breitenwang, Grünes und unabhängiges Team",Wir sind ein Grünes und unabhängiges Team,"Wir möchten uns um die Themenstellungen unserer Gemeinde kümmern aber im Hinblick auf Nachhaltigkeit, Umweltschutz und ein faires und sozial gerechtes Miteinander",
2022/02/23 10:28:51 AM MEZ,STARK FÜR UNSER DAHUAM,Priorisierte Umsetzung,Wohnen muss vor allem auch für junge Heiterwangerinnen und Heiterwanger leistbar bleiben. Dafür ist unserer Meinung die Gemeinde mit verantwortlich.,Ja,"Die Gemeinde Heiterwang tritt bereits als Vermieter von Wohnungen und Geschäftsräumen auf. Unsere Meinung: Wer wirtschaften will, muss investieren. Natürlich in angemessenem Umfang.",Ja - zusätzliche Staatliche Bauträger;Ja - zusätzliche Private Bauträger,Fast nur günstige Wohnungen (> 85% der neu gebauten Wohnungen sind günstiger),Günstige Wohnung sollten auch für die Übergangszeit zwischen dem Auszug vom Elternheim und der Schaffung eines Eigenheims zur Verfügung stehen.,Priorisierte Umsetzung,"Als junge und jung denkende Gemeinderatsliste haben wir schon den richtigen Schritt gemacht um mehr Jugendliche die Möglichkeit zu geben im Gemeinde-Geschehen mitzuwirken. Treffpunkte, Spiel- und Freizeitangebote für Kinder und Jugendliche sind eines unserer mittelfristigen Ziele.",Geplant,,Alle haben Anspruch auf die Kinderbetreuung,0-3 nur Vormittagsbetreuung,Keine,"Dieses gilt es mit den Zuständigen abzuklären, eine Bedarfserhebung ist hier der essenzielle Grundstein.",,Geplant,,Geplant,,Spezielle Förderung,Spezielle Förderung,Spezielle Förderung,Spezielle Förderung,Spezielle Förderung,Spezielle Förderung,Spezielle Förderung,Spezielle Förderung,"Vereinsförderungen sollten nach Bedarf behandelt werden. Braucht ein Verein ein Förderung muss dies im Gemeinderat bearbeitet werden. Je nach Umsetzbarkeit, hat dies nichts damit zu tun was der nächste bekommt. Hier wollen wir handeln wenn es notwendig ist und fördern was möglich ist.",Sehr wichtig,,Geplant - proaktive auf z.B. Webseite,Das ist eines unserer kurzfristigen Ziele. Informationen müssen aktuell und transparent an die HeiterwangerInnen weitergegeben werden. Die Über- und Ausarbeitung unserer Gemeinde-Webseite hat hier oberste Priorität. Das vermehrte Einsetzten der Service-App Gem2Go gehört unbedingt gefördert.,Priorisierte Umsetzung,,Geplant,Das Glasfasernetz ist in Heiterwang bereits sehr gut ausgebaut.,Privatfinanzierung,https://www.facebook.com/starkfuerunserdahuam https://www.instagram.com/starkfuerunserdahuam/,"Nein, wir sind eine unabhängige Gemeinderatsliste",,
2022/02/23 11:57:09 AM MEZ,Team Schimana,Geplant,,Ja,,Ja - zusätzliche Staatliche Bauträger;Ja - zusätzliche Private Bauträger,Ausgeglichen (ca. 50% - 50% günstige und teure Wohnungen),,Priorisierte Umsetzung,,Ja - existierendes Angebot soll ausgebaut werden,Wichtig: Sommerbetreuung für Schulkinder,Alle haben Anspruch auf die Kinderbetreuung,3-6 Ganztagsbetreuung,3-6;6-10;10-14,Geringe Kindergartenbeiträge,,Geplant,Mischung aus Rundbus und Ruftaxi im Talkessel von Reutte,Geplant,,Spezielle Förderung,Spezielle Förderung,Spezielle Förderung,Spezielle Förderung,Spezielle Förderung,Spezielle Förderung,Spezielle Förderung,Spezielle Förderung,Vereinsförderung wird nach Einzelfall und finanziellen Möglichkeiten des Vereins entschieden.,Wichtig,,Geplant - proaktive auf z.B. Webseite,,Geplant,,Geplant,,Privatfinanzierung,www.team-schimana.at,Nähe zur Tiroler Volkspartei,www.team-schimana.at,
2022/02/23 11:08:04 PM MEZ,Allgemeine Bürgerliste Lechaschau ,Geplant,,Ja,,Ja - zusätzliche Private Bauträger,Ausgeglichen (ca. 50% - 50% günstige und teure Wohnungen),,Unschlüssig,,Ja - existierendes Angebot soll ausgebaut werden,,Alle haben Anspruch auf die Kinderbetreuung,3-6 Ganztagsbetreuung;6-10 Nachmittagsbetreuung,3-6;6-10,Die Betreuung wird finanziell unterstützt < 50%,,Geplant,,Geplant,,Spezielle Förderung,Keine,Spezielle Förderung,Spezielle Förderung,Durchschnittliche,Durchschnittliche,Spezielle Förderung,Spezielle Förderung,,Sehr wichtig,,Geplant - proaktive auf z.B. Webseite,,Geplant,,Geplant,,Privatfinanzierung,Facebook ,Nein,,
